wvfFind_event85574_trackID7_opNum8.root                       Event= 85574, Track=   7, Score=0.690
wvfFind_event66435_trackID10_opNum6_2.root                    Event= 66435, Track=  10, Score=0.649
wvfFind_event42574_trackID4_opNum9.root                       Event= 42574, Track=   4, Score=0.895
wvfFind_event63892_trackID5_opNum3_merged.root                Event= 63892, Track=   5, Score=0.474
wvfFind_event88488_trackID8_opNum6_merged.root                Event= 88488, Track=   8, Score=0.897
wvfFind_event61798_trackID12_opNum7.root                      Event= 61798, Track=  12, Score=0.740
wvfFind_event45234_trackID11_opNum8.root                      Event= 45234, Track=  11, Score=0.592
wvfFind_event85054_trackID1_opNum9.root                       Event= 85054, Track=   1, Score=0.545
wvfFind_event18893_trackID12_opNum8.root                      Event= 18893, Track=  12, Score=0.893
wvfFind_event90454_trackID7_opNum5_merged.root                Event= 90454, Track=   7, Score=0.424
wvfFind_event28972_trackID10_opNum5_2.root                    Event= 28972, Track=  10, Score=0.641
wvfFind_event68479_trackID9_opNum5.root                       Event= 68479, Track=   9, Score=0.828
wvfFind_event510_trackID11_opNum5_2.root                      Event=   510, Track=  11, Score=0.477
wvfFind_event73622_trackID1_opNum8.root                       Event= 73622, Track=   1, Score=0.776
wvfFind_event51978_trackID2_opNum7.root                       Event= 51978, Track=   2, Score=0.426
wvfFind_event82795_trackID7_opNum5.root                       Event= 82795, Track=   7, Score=0.997
wvfFind_event12266_trackID2_opNum9.root                       Event= 12266, Track=   2, Score=0.872
wvfFind_event7798_trackID3_opNum8.root                        Event=  7798, Track=   3, Score=0.756
wvfFind_event37934_trackID4_opNum5.root                       Event= 37934, Track=   4, Score=0.496
wvfFind_event15283_trackID10_opNum5_merged.root               Event= 15283, Track=  10, Score=0.888
wvfFind_event26127_trackID6_opNum5_2.root                     Event= 26127, Track=   6, Score=0.548
wvfFind_event70320_trackID9_opNum5.root                       Event= 70320, Track=   9, Score=0.686
wvfFind_event35601_trackID1_opNum9.root                       Event= 35601, Track=   1, Score=0.923
wvfFind_event37777_trackID4_opNum5_2.root                     Event= 37777, Track=   4, Score=0.673
wvfFind_event20405_trackID17_opNum4_merged.root               Event= 20405, Track=  17, Score=0.600
wvfFind_event64745_trackID0_opNum5.root                       Event= 64745, Track=   0, Score=0.733
wvfFind_event87348_trackID7_opNum8_merged.root                Event= 87348, Track=   7, Score=0.681
wvfFind_event19604_trackID12_opNum8.root                      Event= 19604, Track=  12, Score=0.675
