PdsEventNew(muon_time=125, michel_time=192, muon_intensity=4.89134, michel_intensity=2.11457, third_intensity=0.635399, posX=59.9291, posY=424.091, posZ=354.071, energy=44.1606, lifetime=1.16919, pdg=-11, eventID=13825, trackID=15, date=20250828, reco_lifetime=1072, true_lifetime=1169.19, diff_lifetime=-97.19000000000005, michel_rise=0.0845828, michel_drop=0.132534375)
Event 13: PdsEventNew(muon_time=128, michel_time=526, muon_intensity=60.0858, michel_intensity=8.90059, third_intensity=1.25909, posX=-263.604, posY=316.859, posZ=358.38, energy=37.6733, lifetime=6.41298, pdg=-11, eventID=10683, trackID=7, date=20250828, reco_lifetime=6368, true_lifetime=6412.9800000000005, diff_lifetime=-44.98000000000047, michel_rise=0.31736969696969697, michel_drop=0.423837619047619)
Event 14: PdsEventNew(muon_time=126, michel_time=172, muon_intensity=6.83492, michel_intensity=2.21998, third_intensity=0.793416, posX=64.5876, posY=412.718, posZ=311.443, energy=35.7617, lifetime=0.754436, pdg=-11, eventID=10696, trackID=7, date=20250828, reco_lifetime=736, true_lifetime=754.436, diff_lifetime=-18.436000000000035, michel_rise=0.08538384615384616, michel_drop=0.12122214285714285)
Event 15: PdsEventNew(muon_time=126, michel_time=502, muon_intensity=7.55648, michel_intensity=1.49415, third_intensity=0.633747, posX=72.3205, posY=49.8477, posZ=118.187, energy=39.1393, lifetime=6.08803, pdg=-11, eventID=10712, trackID=12, date=20250828, reco_lifetime=6016, true_lifetime=6088.03, diff_lifetime=-72.02999999999975, michel_rise=0.08789916666666665, michel_drop=0.11493461538461539)
Event 16: PdsEventNew(muon_time=126, michel_time=323, muon_intensity=7.2568, michel_intensity=1.56084, third_intensity=0.8297, posX=75.6524, posY=434.374, posZ=200.379, energy=51.2343, lifetime=3.1976, pdg=-11, eventID=1071, trackID=15, date=20250828, reco_lifetime=3152, true_lifetime=3197.6, diff_lifetime=-45.59999999999991, michel_rise=0.13638333333333333, michel_drop=0.12006461538461538)
Event 17: PdsEventNew(muon_time=128, michel_time=181, muon_intensity=27.7475, michel_intensity=6.43611, third_intensity=0.779794, posX=-281.211, posY=131.788, posZ=413.232, energy=33.4794, lifetime=0.903382, pdg=11, eventID=10759, trackID=3, date=20250828, reco_lifetime=848, true_lifetime=903.3820000000001, diff_lifetime=-55.38200000000006, michel_rise=0.402256875, michel_drop=0.13200701492537312)
Event 18: PdsEventNew(muon_time=125, michel_time=185, muon_intensity=5.389, michel_intensity=1.82086, third_intensity=0.660018, posX=88.5648, posY=425.722, posZ=356.329, energy=33.4034, lifetime=0.998421, pdg=11, eventID=10770, trackID=5, date=20250828, reco_lifetime=960, true_lifetime=998.421, diff_lifetime=-38.42100000000005, michel_rise=0.12139066666666666, michel_drop=0.11946176470588235)
Event 19: PdsEventNew(muon_time=124, michel_time=172, muon_intensity=2.86085, michel_intensity=1.17494, third_intensity=0.426769, posX=7.91027, posY=350.157, posZ=429.199, energy=40.5147, lifetime=0.805137, pdg=-11, eventID=10780, trackID=11, date=20250828, reco_lifetime=768, true_lifetime=805.137, diff_lifetime=-37.136999999999944, michel_rise=0.07343375, michel_drop=0.08753736842105264)
Event 20: PdsEventNew(muon_time=128, michel_time=637, muon_intensity=14.1432, michel_intensity=2.83715, third_intensity=0.618511, posX=123.707, posY=192.309, posZ=299.866, energy=46.8904, lifetime=8.19314, pdg=-11, eventID=10817, trackID=2, date=20250828, reco_lifetime=8144, true_lifetime=8193.14, diff_lifetime=-49.13999999999942, michel_rise=0.138769, michel_drop=0.15761944444444442)
Event 21: PdsEventNew(muon_time=127, michel_time=252, muon_intensity=10.2063, michel_intensity=1.64554, third_intensity=0.837575, posX=56.0542, posY=155.068, posZ=274.728, energy=46.9941, lifetime=2.04445, pdg=-11, eventID=10859, trackID=6, date=20250828, reco_lifetime=2000, true_lifetime=2044.4499999999998, diff_lifetime=-44.44999999999982, michel_rise=0.15039384615384616, michel_drop=0.11753857142857142)
Event 22: PdsEventNew(muon_time=124, michel_time=175, muon_intensity=3.61422, michel_intensity=1.34168, third_intensity=0.318055, posX=39.5003, posY=310.527, posZ=364.72, energy=42.6357, lifetime=0.802451, pdg=-11, eventID=11040, trackID=13, date=20250828, reco_lifetime=816, true_lifetime=802.451, diff_lifetime=13.548999999999978, michel_rise=0.060985454545454544, michel_drop=0.038085)
