============================================================
CONFIG SUMMARY
============================================================
SRC_DIR        : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_merged_applyCut_thre3
DST_DIR        : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam
Cut window [A,B]: [-0.12, -0.03]
SEARCH_WINDOW  : 4
DRY_RUN        : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part1.log
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part2.log
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part3.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part1.log
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part2.log
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part3.log
[INFO] Indexed candidates: 34469

[INFO] Found ROOT files: 25843

[COPY] event=100512, trackID=2, T0=-1.61493 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100512_trackID2_opNum9.root
[COPY] event=100538, trackID=5, T0=-1.87904 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100538_trackID5_opNum4_merged.root
[COPY] event=100555, trackID=15, T0=-0.266212 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100555_trackID15_opNum6.root
[COPY] event=100559, trackID=7, T0=-0.626618 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100559_trackID7_opNum5.root
[COPY] event=100584, trackID=9, T0=-0.900246 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100584_trackID9_opNum4.root
[COPY] event=100642, trackID=29, T0=-1.38818 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100642_trackID29_opNum6.root
[COPY] event=100650, trackID=2, T0=-0.940445 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100650_trackID2_opNum9.root
[COPY] event=100659, trackID=18, T0=-2.33184 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100659_trackID18_opNum8.root
[COPY] event=100663, trackID=17, T0=0.349705 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100663_trackID17_opNum6.root
[COPY] event=100667, trackID=10, T0=-0.997219 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100667_trackID10_opNum5.root
[COPY] event=100695, trackID=15, T0=-0.607193 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100695_trackID15_opNum7_merged.root
[COPY] event=100736, trackID=9, T0=0.462553 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100736_trackID9_opNum8.root
[COPY] event=100764, trackID=1, T0=0.0140977 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100764_trackID1_opNum3_merged.root
[COPY] event=100830, trackID=3, T0=-0.35815 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100830_trackID3_opNum8.root
[COPY] event=100834, trackID=12, T0=-0.885783 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100834_trackID12_opNum6.root
[COPY] event=100838, trackID=9, T0=-0.0209809 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100838_trackID9_opNum7_merged.root
[COPY] event=10084, trackID=4, T0=-1.44673 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event10084_trackID4_opNum5.root
[COPY] event=100855, trackID=0, T0=-0.355558 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100855_trackID0_opNum9.root
[COPY] event=100868, trackID=25, T0=-0.643476 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100868_trackID25_opNum9.root
[COPY] event=100870, trackID=14, T0=0.374653 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100870_trackID14_opNum9.root
[COPY] event=100870, trackID=6, T0=-1.24236 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100870_trackID6_opNum5.root
[COPY] event=10089, trackID=5, T0=0.0163414 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event10089_trackID5_opNum8.root
[COPY] event=100902, trackID=7, T0=-0.771077 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100902_trackID7_opNum5.root
[COPY] event=100905, trackID=11, T0=-2.32078 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100905_trackID11_opNum5.root
[SKIP] (in range) event=100908, trackID=13, T0=-0.0953198
[COPY] event=100954, trackID=9, T0=-2.13773 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100954_trackID9_opNum4.root
[COPY] event=101002, trackID=5, T0=-1.78281 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event101002_trackID5_opNum4.root
[COPY] event=101004, trackID=8, T0=-1.37892 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event101004_trackID8_opNum5.root
[COPY] event=101016, trackID=2, T0=-0.606223 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event101016_trackID2_opNum3.root
[COPY] event=101020, trackID=3, T0=-0.00722166 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event101020_trackID3_opNum8.root
[COPY] event=101020, trackID=3, T0=-0.00722166 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event101020_trackID3_opNum8_2.root
[COPY] event=101030, trackID=4, T0=-1.00541 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event101030_trackID4_opNum3_merged.root
[COPY] event=101035, trackID=5, T0=-0.515577 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event101035_trackID5_opNum9.root
[COPY] event=101043, trackID=21, T0=0.370367 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event101043_trackID21_opNum6_merged.root
