#events with |diff| <= 500:  2223 / 3411 (65.17%)

#events with |diff| > 500 :  1188 / 3411 (34.83%)
Event 45: PdsEventNew(muon_time=126, michel_time=168, muon_intensity=5.73347, michel_intensity=1.07856, posX=38.6358, posY=438.995, posZ=247.98, energy=27.4084, lifetime=2.36273, pdg=-11, eventID=12497, trackID=10, date=20250828, reco_lifetime=672, true_lifetime=2362.73, diff_lifetime=-1690.73)



Event 46: PdsEventNew(muon_time=123, michel_time=587, muon_intensity=3.46066, michel_intensity=1.62368, posX=-73.24, posY=300.898, posZ=350.427, energy=27.0542, lifetime=0.397477, pdg=11, eventID=12574, trackID=6, date=20250828, reco_lifetime=7424, true_lifetime=397.47700000000003, diff_lifetime=7026.523)

Event 47: PdsEventNew(muon_time=127, michel_time=210, muon_intensity=18.3126, michel_intensity=1.18425, posX=126.069, posY=201.407, posZ=235.083, energy=39.2597, lifetime=0.366661, pdg=-11, eventID=12592, trackID=6, date=20250828, reco_lifetime=1328, true_lifetime=366.661, diff_lifetime=961.3389999999999)


Event 48: PdsEventNew(muon_time=128, michel_time=171, muon_intensity=136.477, michel_intensity=3.2095, posX=-187.21, posY=269.858, posZ=343.836, energy=-1.0, lifetime=-1.0, pdg=0, eventID=125, trackID=0, date=20250828, reco_lifetime=688, true_lifetime=-1000.0, diff_lifetime=1688.0)



Event 49: PdsEventNew(muon_time=128, michel_time=348, muon_intensity=116.97, michel_intensity=2.05051, posX=264.443, posY=76.7352, posZ=142.626, energy=22.1813, lifetime=0.275915, pdg=-11, eventID=12708, trackID=3, date=20250828, reco_lifetime=3520, true_lifetime=275.915, diff_lifetime=3244.085)
Event 50: PdsEventNew(muon_time=126, michel_time=182, muon_intensity=5.50077, michel_intensity=0.91533, posX=49.0944, posY=361.881, posZ=395.617, energy=24.662, lifetime=2.38513, pdg=-11, eventID=12766, trackID=19, date=20250828, reco_lifetime=896, true_lifetime=2385.13, diff_lifetime=-1489.13)


Event 51: PdsEventNew(muon_time=128, michel_time=170, muon_intensity=30.1205, michel_intensity=1.81996, posX=-180.425, posY=301.025, posZ=314.977, energy=43.4971, lifetime=0.0897913, pdg=-11, eventID=12854, trackID=6, date=20250828, reco_lifetime=672, true_lifetime=89.7913, diff_lifetime=582.2087)

Event 52: PdsEventNew(muon_time=126, michel_time=206, muon_intensity=5.34614, michel_intensity=1.16879, posX=35.7877, posY=283.686, posZ=365.563, energy=10.9052, lifetime=5.2427, pdg=-11, eventID=12867, trackID=11, date=20250828, reco_lifetime=1280, true_lifetime=5242.7, diff_lifetime=-3962.7)


