============================================================
CONFIG SUMMARY
============================================================
SRC_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_merged_applyCut_thre3
DST_DIR         : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam
Cut window [A,B]: [-0.12, -0.03]
SEARCH_WINDOW   : 4
DRY_RUN         : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28751/print.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28751/print.log
[INFO] Indexed candidates: 10490

[INFO] Found ROOT files: 9246

[COPY] event=100421, trackID=7, T0=-2.06024 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100421_trackID7_opNum4_merged.root
[COPY] event=10043, trackID=26, T0=0.195851 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event10043_trackID26_opNum5.root
[COPY] event=100450, trackID=25, T0=-2.31305 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100450_trackID25_opNum9_merged.root
[COPY] event=100451, trackID=5, T0=-0.981225 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100451_trackID5_opNum5.root
[COPY] event=100456, trackID=2, T0=-1.10516 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100456_trackID2_opNum3.root
[COPY] event=100485, trackID=15, T0=-0.159244 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100485_trackID15_opNum6_merged.root
[COPY] event=100488, trackID=5, T0=-1.51014 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100488_trackID5_opNum3.root
[COPY] event=100499, trackID=18, T0=-1.97108 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100499_trackID18_opNum9.root
[COPY] event=100506, trackID=11, T0=0.370344 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100506_trackID11_opNum8_merged.root
[COPY] event=10052, trackID=1, T0=-1.09532 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event10052_trackID1_opNum8.root
[COPY] event=10058, trackID=10, T0=-0.788786 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event10058_trackID10_opNum4.root
[COPY] event=10059, trackID=2, T0=-1.19403 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event10059_trackID2_opNum6.root
[SKIP] (in range) event=100627, trackID=5, T0=-0.0446975
[COPY] event=100636, trackID=28, T0=-1.98663 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100636_trackID28_opNum5.root
[COPY] event=100653, trackID=7, T0=-1.7368 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100653_trackID7_opNum8.root
[COPY] event=100676, trackID=25, T0=-2.44208 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100676_trackID25_opNum9_merged.root
[COPY] event=1006, trackID=13, T0=-1.95908 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event1006_trackID13_opNum3.root
[COPY] event=100703, trackID=1, T0=-0.139649 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100703_trackID1_opNum8_merged.root
[COPY] event=100732, trackID=2, T0=-0.865743 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100732_trackID2_opNum5.root
[COPY] event=100732, trackID=2, T0=-0.865743 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100732_trackID2_opNum5_2.root
[COPY] event=100745, trackID=31, T0=-2.42626 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100745_trackID31_opNum9.root
[COPY] event=100760, trackID=1, T0=0.0663164 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28751_new202602/wvf_applyCut_removeBeam/wvfFind_event100760_trackID1_opNum9.root
