wvfFind_event192646_trackID6_opNum4_merged.root               Event=192646, Track=   6, Score=0.518
wvfFind_event99937_trackID24_opNum8.root                      Event= 99937, Track=  24, Score=0.511
wvfFind_event117637_trackID1_opNum5.root                      Event=117637, Track=   1, Score=0.400
wvfFind_event54105_trackID6_opNum7.root                       Event= 54105, Track=   6, Score=0.915
wvfFind_event67076_trackID0_opNum8.root                       Event= 67076, Track=   0, Score=0.638
wvfFind_event74665_trackID13_opNum8_merged.root               Event= 74665, Track=  13, Score=0.826
wvfFind_event160801_trackID5_opNum5.root                      Event=160801, Track=   5, Score=0.838
wvfFind_event49186_trackID10_opNum5_2.root                    Event= 49186, Track=  10, Score=0.635
wvfFind_event161935_trackID12_opNum9.root                     Event=161935, Track=  12, Score=0.447
wvfFind_event87825_trackID11_opNum5.root                      Event= 87825, Track=  11, Score=0.470
wvfFind_event56522_trackID23_opNum4.root                      Event= 56522, Track=  23, Score=0.438
wvfFind_event7724_trackID11_opNum8.root                       Event=  7724, Track=  11, Score=0.999
wvfFind_event171456_trackID2_opNum7_merged.root               Event=171456, Track=   2, Score=0.894
wvfFind_event173755_trackID10_opNum8.root                     Event=173755, Track=  10, Score=0.896
wvfFind_event166128_trackID5_opNum9.root                      Event=166128, Track=   5, Score=0.761
wvfFind_event32290_trackID5_opNum4.root                       Event= 32290, Track=   5, Score=0.530
wvfFind_event138225_trackID1_opNum7.root                      Event=138225, Track=   1, Score=0.936
wvfFind_event181755_trackID15_opNum6.root                     Event=181755, Track=  15, Score=0.843
wvfFind_event178856_trackID19_opNum8.root                     Event=178856, Track=  19, Score=0.583
wvfFind_event143049_trackID0_opNum4.root                      Event=143049, Track=   0, Score=0.805
wvfFind_event96400_trackID9_opNum9.root                       Event= 96400, Track=   9, Score=0.752
wvfFind_event110975_trackID22_opNum5_merged.root              Event=110975, Track=  22, Score=0.759
wvfFind_event133083_trackID2_opNum9.root                      Event=133083, Track=   2, Score=0.576
wvfFind_event3475_trackID9_opNum5_merged.root                 Event=  3475, Track=   9, Score=0.535
wvfFind_event105746_trackID9_opNum7.root                      Event=105746, Track=   9, Score=0.999
wvfFind_event160857_trackID9_opNum9.root                      Event=160857, Track=   9, Score=0.745
wvfFind_event207806_trackID10_opNum4_2.root                   Event=207806, Track=  10, Score=0.420
wvfFind_event188709_trackID3_opNum4.root                      Event=188709, Track=   3, Score=0.884
wvfFind_event22801_trackID15_opNum6_merged.root               Event= 22801, Track=  15, Score=0.807
wvfFind_event70894_trackID8_opNum4.root                       Event= 70894, Track=   8, Score=0.561
wvfFind_event98636_trackID2_opNum4_merged.root                Event= 98636, Track=   2, Score=0.737
wvfFind_event167854_trackID4_opNum8.root                      Event=167854, Track=   4, Score=0.478
wvfFind_event175250_trackID6_opNum9.root                      Event=175250, Track=   6, Score=0.601
wvfFind_event174594_trackID10_opNum6_merged.root              Event=174594, Track=  10, Score=0.729
wvfFind_event166353_trackID16_opNum6_merged.root              Event=166353, Track=  16, Score=0.760
wvfFind_event39026_trackID15_opNum9.root                      Event= 39026, Track=  15, Score=0.703
wvfFind_event58626_trackID5_opNum9_merged.root                Event= 58626, Track=   5, Score=0.427
wvfFind_event138602_trackID10_opNum5.root                     Event=138602, Track=  10, Score=0.997
wvfFind_event179857_trackID12_opNum5.root                     Event=179857, Track=  12, Score=0.587
wvfFind_event89189_trackID12_opNum9.root                      Event= 89189, Track=  12, Score=0.722
wvfFind_event21794_trackID12_opNum5.root                      Event= 21794, Track=  12, Score=0.551
wvfFind_event132792_trackID1_opNum5.root                      Event=132792, Track=   1, Score=0.759
wvfFind_event54638_trackID31_opNum4.root                      Event= 54638, Track=  31, Score=0.684
wvfFind_event75330_trackID15_opNum9_merged.root               Event= 75330, Track=  15, Score=1.000
wvfFind_event59068_trackID11_opNum9.root                      Event= 59068, Track=  11, Score=0.703
wvfFind_event55922_trackID10_opNum9_merged.root               Event= 55922, Track=  10, Score=0.903
wvfFind_event19911_trackID9_opNum5_2.root                     Event= 19911, Track=   9, Score=0.445
wvfFind_event77739_trackID16_opNum6.root                      Event= 77739, Track=  16, Score=0.799
wvfFind_event48640_trackID11_opNum4.root                      Event= 48640, Track=  11, Score=0.552
wvfFind_event84153_trackID2_opNum5.root                       Event= 84153, Track=   2, Score=0.548
wvfFind_event110619_trackID16_opNum7.root                     Event=110619, Track=  16, Score=0.706
wvfFind_event157091_trackID0_opNum9.root                      Event=157091, Track=   0, Score=0.606
wvfFind_event16221_trackID0_opNum5.root                       Event= 16221, Track=   0, Score=0.525
wvfFind_event185103_trackID5_opNum7.root                      Event=185103, Track=   5, Score=0.714
wvfFind_event21737_trackID7_opNum6_merged.root                Event= 21737, Track=   7, Score=0.689
wvfFind_event71294_trackID20_opNum7_2.root                    Event= 71294, Track=  20, Score=0.478
wvfFind_event90938_trackID12_opNum8.root                      Event= 90938, Track=  12, Score=0.650
wvfFind_event53957_trackID6_opNum5_2.root                     Event= 53957, Track=   6, Score=0.771
wvfFind_event108601_trackID8_opNum4.root                      Event=108601, Track=   8, Score=0.815
wvfFind_event166879_trackID11_opNum4_merged.root              Event=166879, Track=  11, Score=0.562
wvfFind_event124900_trackID12_opNum5.root                     Event=124900, Track=  12, Score=0.828
wvfFind_event87270_trackID14_opNum4_merged.root               Event= 87270, Track=  14, Score=0.614
wvfFind_event132771_trackID9_opNum4.root                      Event=132771, Track=   9, Score=0.476
wvfFind_event175724_trackID8_opNum5_merged.root               Event=175724, Track=   8, Score=0.572
wvfFind_event175883_trackID33_opNum5.root                     Event=175883, Track=  33, Score=0.489
wvfFind_event7659_trackID5_opNum5.root                        Event=  7659, Track=   5, Score=0.767
wvfFind_event184510_trackID10_opNum4_merged.root              Event=184510, Track=  10, Score=0.401
wvfFind_event107650_trackID5_opNum4.root                      Event=107650, Track=   5, Score=0.750
wvfFind_event59420_trackID14_opNum4.root                      Event= 59420, Track=  14, Score=0.889
wvfFind_event98536_trackID16_opNum4_merged.root               Event= 98536, Track=  16, Score=0.599
wvfFind_event43160_trackID12_opNum6.root                      Event= 43160, Track=  12, Score=0.713
wvfFind_event168919_trackID15_opNum6_merged.root              Event=168919, Track=  15, Score=0.688
wvfFind_event64361_trackID4_opNum9_merged.root                Event= 64361, Track=   4, Score=0.805
wvfFind_event193426_trackID1_opNum4_merged.root               Event=193426, Track=   1, Score=0.421
wvfFind_event147376_trackID9_opNum9_merged.root               Event=147376, Track=   9, Score=0.668
wvfFind_event20765_trackID0_opNum5.root                       Event= 20765, Track=   0, Score=0.432
wvfFind_event28417_trackID3_opNum9_merged.root                Event= 28417, Track=   3, Score=0.500
wvfFind_event78973_trackID11_opNum5.root                      Event= 78973, Track=  11, Score=0.634
wvfFind_event133266_trackID5_opNum7.root                      Event=133266, Track=   5, Score=0.734
wvfFind_event200726_trackID5_opNum4_merged.root               Event=200726, Track=   5, Score=0.602
wvfFind_event97441_trackID19_opNum9.root                      Event= 97441, Track=  19, Score=0.512
wvfFind_event125589_trackID6_opNum4_merged.root               Event=125589, Track=   6, Score=0.973
wvfFind_event64681_trackID9_opNum4_merged.root                Event= 64681, Track=   9, Score=0.667
wvfFind_event94756_trackID7_opNum4.root                       Event= 94756, Track=   7, Score=0.871
wvfFind_event46132_trackID7_opNum9_merged.root                Event= 46132, Track=   7, Score=0.815
wvfFind_event118202_trackID5_opNum9.root                      Event=118202, Track=   5, Score=0.791
wvfFind_event27861_trackID8_opNum6.root                       Event= 27861, Track=   8, Score=0.723
wvfFind_event95705_trackID10_opNum4_merged.root               Event= 95705, Track=  10, Score=0.533
wvfFind_event118166_trackID5_opNum5.root                      Event=118166, Track=   5, Score=0.426
wvfFind_event194923_trackID11_opNum9_merged.root              Event=194923, Track=  11, Score=0.870
wvfFind_event153910_trackID10_opNum4.root                     Event=153910, Track=  10, Score=0.438
wvfFind_event104635_trackID9_opNum4_2.root                    Event=104635, Track=   9, Score=0.578
wvfFind_event58126_trackID8_opNum5_merged.root                Event= 58126, Track=   8, Score=0.797
wvfFind_event30475_trackID10_opNum4_merged.root               Event= 30475, Track=  10, Score=0.683
wvfFind_event207153_trackID6_opNum9.root                      Event=207153, Track=   6, Score=0.776
wvfFind_event165082_trackID9_opNum9.root                      Event=165082, Track=   9, Score=0.492
wvfFind_event124274_trackID23_opNum9.root                     Event=124274, Track=  23, Score=0.782
wvfFind_event176770_trackID12_opNum5.root                     Event=176770, Track=  12, Score=0.721
wvfFind_event186063_trackID3_opNum6.root                      Event=186063, Track=   3, Score=0.573
wvfFind_event169279_trackID4_opNum5.root                      Event=169279, Track=   4, Score=0.429
wvfFind_event12634_trackID28_opNum9.root                      Event= 12634, Track=  28, Score=0.742
wvfFind_event124867_trackID22_opNum6.root                     Event=124867, Track=  22, Score=0.480
wvfFind_event102833_trackID0_opNum4.root                      Event=102833, Track=   0, Score=0.877
wvfFind_event109041_trackID11_opNum9.root                     Event=109041, Track=  11, Score=0.572
wvfFind_event51857_trackID6_opNum5.root                       Event= 51857, Track=   6, Score=0.791
wvfFind_event133299_trackID2_opNum5_merged.root               Event=133299, Track=   2, Score=0.766
wvfFind_event139116_trackID1_opNum5.root                      Event=139116, Track=   1, Score=0.649
wvfFind_event121845_trackID4_opNum5.root                      Event=121845, Track=   4, Score=0.987
wvfFind_event123902_trackID19_opNum9_2.root                   Event=123902, Track=  19, Score=0.607
wvfFind_event192715_trackID16_opNum7_merged.root              Event=192715, Track=  16, Score=0.845
wvfFind_event113686_trackID13_opNum6_merged.root              Event=113686, Track=  13, Score=0.685
wvfFind_event988_trackID21_opNum4.root                        Event=   988, Track=  21, Score=0.686
