Run Event TrackID VertexX VertexY VertexZ
28891 227696 29 5.49427 168.47 368.702
28891 227704 6 102.71 435.184 135.289
28891 227792 6 2.69986 581.811 144.684
28891 316066 3 160.529 590.008 1.19752
28891 316106 3 105.497 598.938 141.015
28891 316106 12 44.676 601.849 456.61
28891 136681 7 210.618 604.159 315.975
28891 136865 4 42.6228 593.896 182.322
28891 332341 11 -44.5021 587.005 361.942
28891 332373 5 -36.8896 589.892 389.381
28891 332549 12 50.3782 478.607 129.503
28891 310019 25 30.9798 415.266 145.507
28891 310059 16 77.8381 594.065 292.165
28891 310099 10 137.462 455.278 231.903
28891 310139 0 205.792 603.698 418.087
28891 310219 0 -180.782 555.332 460.348
28891 310235 18 47.5004 591.152 348.311
28891 216788 8 118.944 425.529 406.166
28891 216812 30 29.9252 527.919 142.779
28891 216852 10 -61.9037 495.435 84.037
28891 50112 2 90.2047 592.967 358.531
28891 50128 11 -115.966 378.382 141.955
28891 50160 0 344.553 413.351 213.029
28891 50328 7 69.9627 589.631 249.085
28891 56545 4 305.271 606.817 232.751
28891 56585 6 42.0041 590.922 311.637
28891 327364 28 -9.14917 420.182 298.324
28891 327444 13 377.439 528.982 460.666
28891 327500 3 33.1626 579.999 427.365
28891 327532 22 34.6714 589.37 458.938
28891 327580 17 19.4972 593.511 445.733
28891 25185 4 104.837 605.688 11.2504
28891 92281 8 42.1921 588.097 300.977
28891 92297 8 -9.73792 364.411 164.43
28891 92449 11 -112.584 405.97 456.252
28891 92497 7 145.931 595.071 148.995
28891 346502 9 93.7979 499.089 457.661
28891 346590 2 345.036 546.142 168.072
28891 346646 7 14.1258 596.926 84.0745
28891 82152 4 92.1681 593.96 337.81
28891 82328 13 364.581 277.155 103.625
28891 61168 1 44.4007 590.762 203.038
28891 61200 3 -154.236 600.838 351.71
28891 61248 17 -62.6756 361.026 35.4695
28891 305045 8 187.098 312.34 170.607
28891 305125 7 115.353 594.818 315.192
28891 305205 6 148.786 602.624 107.415
28891 313942 1 -6.14829 337.811 441.964
28891 92798 37 13.0358 144.814 322.016
28891 92894 12 -26.5457 588.733 359.555
28891 92982 2 -327.705 346.412 325.766
28891 338816 5 -42.8822 470.242 446.047
28891 338960 2 114.036 584.566 232.535
28891 338960 9 -48.8531 595.206 14.4381
28891 339000 6 38.4095 591.914 355.118
28891 197164 2 -158.105 599.644 6.82889
28891 197172 2 79.7009 594.717 161.007
28891 197284 11 18.2307 583.042 284.074
28891 197332 27 22.921 417.987 344.646
28891 197356 24 19.6005 567.593 233.196
28891 209388 1 -76.2071 598.679 448.488
28891 209404 35 11.8793 192.481 362.869
28891 209444 6 70.7945 590.97 363.758
28891 362624 19 79.5123 597.136 123.066
28891 362648 3 -7.53405 547.594 450.723
28891 362792 11 -69.6759 589.479 371.861
28891 192154 6 -159.182 598.346 365.898
28891 192162 15 47.1947 591.142 388.75
28891 192194 13 27.6672 590.377 369.126
28891 289088 9 20.9891 591.361 195.319
28891 289112 11 27.7312 589.329 380.134
28891 358626 0 240.664 605.964 298.257
28891 358674 11 112.468 598.421 199.367
28891 358770 3 31.641 589.605 376.085
28891 358770 7 142.681 415.882 362.596
28891 192978 3 68.7932 559.6 457.633
28891 193114 9 -93.0564 587.266 289.312
28891 193170 12 27.6159 443.356 7.4672
28891 76968 16 -70.6921 597.718 65.5115
28891 76976 0 346.845 592.403 235.92
28891 77000 43 8.32153 344.552 420.12
28891 77064 13 146.496 176.783 372.683
28891 222777 1 239.843 609.011 460.744
28891 222777 8 50.7868 593.39 157.256
28891 222873 15 41.9851 521.939 311.4
28891 222897 7 80.0953 597.115 404.121
28891 222046 23 -45.6797 487.812 232.372
28891 222166 8 -51.1333 475.954 178.667
28891 128768 6 17.0612 588.905 295.432
28891 128944 8 72.4797 587.761 287.079
28891 87273 7 107.771 593.428 57.9431
28891 87289 5 101.774 591.802 333.955
28891 338624 23 -16.8847 483.001 229.721
28891 338728 3 87.5329 593.375 235.384
28891 338744 3 146.789 594.694 286.883
28891 365103 9 25.8372 587.718 336.132
28891 365159 14 -17.2823 443.553 345.12
28891 365215 7 15.6728 590.299 207.925
28891 373557 0 106.784 549.431 458.743
28891 373645 5 73.4833 584.213 232.216
28891 373661 5 75.7192 599.217 44.1939
28891 373677 2 194.39 605.475 86.1007
28891 373733 9 66.087 600.241 55.1887
28891 57582 30 30.2185 157.201 19.5407
28891 57678 4 102.288 597.607 136.464
28891 57758 5 14.4643 602.671 12.5587
28891 108813 1 -65.3714 580.177 431.923
28891 185590 2 216.483 502.944 424.734
28891 185678 6 22.4549 600.569 210.805
28891 185710 11 46.3388 590.617 254.488
28891 259665 10 38.9912 589.987 328.801
28891 259769 11 21.879 599.912 456.337
28891 259865 4 82.2973 596.51 424.336
28891 36978 13 -364.531 476.037 447.564
28891 37066 8 -51.5024 405.072 11.7477
28891 158721 2 102.948 602.265 56.5135
28891 158849 9 -46.9131 525.933 449.159
28891 158857 40 8.86866 335.756 271.426
28891 158905 6 70.1966 435.809 447.051
28891 158929 8 79.5768 594.061 189.304
28891 144737 4 126.452 599.123 143.759
28891 144761 2 10.8419 507.769 8.15456
28891 144761 12 119.441 499.77 253.477
28891 144793 9 65.0059 590.35 310.634
28891 297511 21 17.0652 248.416 384.111
28891 48156 18 18.7611 589.755 364.194
28891 48164 6 -63.2324 498.648 11.3817
28891 48172 9 -24.6282 584.992 228.426
28891 48332 14 19.2019 583.513 234.979
28891 203902 13 53.1625 589.411 258.395
28891 203934 20 54.1409 591.059 309.638
28891 203990 11 -38.9296 388.373 440.448
28891 204070 2 97.4559 607.301 457.296
28891 204070 8 24.5126 593.584 407.543
28891 292147 23 -42.2814 575.578 74.4069
28891 292235 5 -147.425 595.623 252.576
28891 292299 13 110.806 596.224 306.166
28891 129717 9 58.4952 518.295 454.889
28891 129789 5 38.6136 452.392 441.248
28891 129789 20 23.5257 297.602 337.327
28891 129805 5 -129.488 595.325 296.258
28891 26288 9 10.3968 596.205 107.989
28891 364863 27 -31.0482 303.547 229.095
28891 364903 3 130.403 598.085 167.764
28891 364943 15 16.547 206.588 450.084
28891 365047 2 159.19 597.649 306.191
28891 365047 3 -170.352 601.377 72.9929
28891 67771 17 -30.2344 294.101 442.801
28891 67787 7 -54.1531 543.319 231.896
28891 67891 4 32.9881 591.606 333.471
28891 239210 4 46.9321 593.246 200.793
28891 239234 11 96.3441 594.729 420.556
28891 64699 23 42.1269 597.426 227.574
28891 123779 12 26.5388 589.63 261.484
28891 123883 11 100.1 596.093 422.391
28891 123899 2 -207.806 603.315 460.857
28891 123899 4 186.207 600.874 452.422
28891 123915 11 76.6384 292.971 373.388
28891 123963 15 55.3668 440.223 451.498
28891 331244 2 -99.1274 593.081 381.916
28891 279052 22 -19.8722 427.625 153.683
28891 279068 14 22.3391 297.224 348.631
28891 276771 5 161.549 494.426 318.881
28891 276787 6 13.0082 593.57 227.92
28891 276907 4 28.5405 598.289 46.3795
28891 276923 11 -5.78895 589.508 389.186
28891 276955 4 116.562 595.624 354.775
28891 276995 8 -167.498 598.559 298.3
28891 344614 6 65.4078 442.101 454.999
28891 344622 2 147.125 600.676 215.288
28891 344622 4 7.63429 362.618 445.45
28891 344710 26 13.1136 296.361 14.1712
28891 186093 24 11.1566 597.021 451.787
28891 186125 19 55.7613 594.88 368.847
28891 186245 19 44.3573 299.974 368.498
28891 34799 4 -17.1382 594.3 449.43
28891 34823 5 8.21745 580.472 284.761
28891 34903 13 -30.0354 332.652 358.307
28891 34951 24 27.4888 591.305 359.318
28891 34975 16 41.7976 591.264 362.268
28891 129017 1 347.201 584.78 401.931
28891 129057 4 29.0054 465.952 448.646
28891 129129 8 -28.8832 577.143 249.593
28891 273660 0 279.264 550.041 0.844911
28891 273780 5 28.1084 567.096 456.836
28891 268675 6 184.855 441.177 425.177
28891 268699 4 28.7286 587.53 382.567
28891 268755 7 28.8426 593.331 194.544
28891 171126 8 16.414 437.647 9.48319
28891 171142 22 49.6749 590.977 232.561
28891 171166 5 282.894 587.844 295.13
28891 171166 19 33.6429 589.15 331.195
28891 171318 13 78.6788 591.576 392.668
28891 215111 8 11.0053 590.755 169.02
28891 215119 5 206.493 589.565 447.106
28891 208543 3 -31.0726 594.136 123.622
28891 224492 10 84.9417 516.522 454.538
28891 224500 6 132.966 365.978 115.76
28891 224620 2 172.254 531.961 424.076
28891 253463 6 -63.7204 306.903 322.66
28891 253559 3 56.1514 594.287 432.066
