Run Event TrackID EndX EndY EndZ
28891 240594 25 34.6019 94.5373 341.246
28891 240706 21 -44.8066 416.68 314.49
28891 240794 10 -79.958 221.428 239.172
28891 240794 11 -213.028 314.781 307.827
28891 105622 7 -58.28 176.588 60.8415
28891 114308 8 -46.4247 370.777 234.252
28891 25559 16 -85.7556 520.906 384.726
28891 25615 2 18.6377 73.7477 345.34
28891 325391 9 -166.354 300.893 116.413
28891 325495 13 -16.2251 391.278 349.105
28891 181558 2 -344.349 96.8786 201.567
28891 181654 12 -86.9589 216.545 166.533
28891 181678 13 -75.5747 447.944 363.736
28891 181742 16 -65.7089 334.012 82.8266
28891 276047 10 76.951 116.449 203.347
28891 276071 22 5.83474 74.5442 182.28
28891 276119 5 -35.32 217.244 324.133
28891 276199 6 -30.4433 284.471 238.912
28891 243068 14 -40.6306 52.0308 426.254
28891 243244 21 -6.78831 233.515 382.366
28891 47626 9 -20.7311 347.888 379.224
28891 47826 27 -53.5508 490.181 425.499
28891 6609 10 -14.243 361.122 282.867
28891 6617 12 137.05 311.59 428.304
28891 6657 15 14.2095 371.94 77.0906
28891 6689 6 -117.21 333.431 232.439
28891 259225 6 -105.205 313.378 391.726
28891 259273 0 341.455 190.2 74.3793
28891 194138 7 120.291 215.454 115.095
28891 5467 2 -137.638 88.2439 354.401
28891 5507 8 -98.9411 185.64 327.45
28891 5539 4 -223.178 51.8369 61.3001
28891 5595 12 -19.6223 144.609 246.521
28891 5635 7 -81.8274 324.752 279.14
28891 148892 5 -102.744 71.5782 185.337
28891 148964 7 -37.6848 105.031 161.171
28891 269565 5 32.1028 101.084 223.982
28891 298303 4 -326.466 139.971 346.592
28891 232880 12 43.4785 83.0269 335.316
28891 232920 10 -112.439 378.867 330.092
28891 233048 6 6.60451 30.6851 290.302
28891 239815 7 -34.9997 96.3248 255.2
28891 240023 20 -27.6004 340.898 357.49
28891 125648 19 -31.3482 488.094 98.607
28891 125688 5 -275.472 135.25 289.968
28891 87407 0 -162.632 121.803 305.701
28891 101135 2 29.9994 209.895 113.718
28891 97407 10 -137.804 230.716 349.008
28891 97439 4 -101.667 160.534 310.269
28891 198482 11 -234.339 204.088 231.521
28891 198578 4 34.7549 183.958 155.214
28891 290020 6 -31.8813 167.258 312.882
28891 42311 10 -102.123 172.4 182.82
28891 42327 22 -46.7189 272.466 394.671
28891 42423 7 -95.3683 122.028 301.782
28891 329847 6 -24.3241 247.711 251.342
28891 365863 14 -32.0154 305.23 310.654
28891 365991 7 216.832 320.471 276.761
28891 366031 5 -120.19 73.3266 395.536
28891 117296 12 -51.622 390.198 325.119
28891 117496 11 -4.95899 301.34 327.522
28891 372552 6 -20.2567 230.985 388.522
28891 372736 36 -13.7595 163.6 384.697
28891 285969 4 49.67 37.329 233.223
28891 286169 12 90.7805 246.02 331.231
28891 286185 4 -87.0699 280.431 330.947
28891 170939 7 -43.0095 159.082 319.993
28891 171003 22 -53.2795 542.108 395.699
28891 180594 20 47.2271 32.9398 423.468
28891 180682 3 180.737 402.569 209.204
28891 180754 16 44.7094 286.567 265.117
28891 180778 4 -42.5876 38.2521 281.01
28891 31205 3 -101.626 147.928 326.482
